,Linear,Dropout,LayerNorm,GELUActivation,BertSdpaSelfAttention,BertSelfOutput,BertAttention,BertIntermediate,BertOutput,BertLayer
0,72,51,25,12,12,12,12,12,12,12
1,73,25,25,12,12,12,12,12,12,12
2,72,37,25,12,12,12,12,12,12,12
3,73,25,25,12,12,12,12,12,12,12
4,73,25,25,12,12,12,12,12,12,12
5,73,37,25,12,12,12,12,12,12,12
6,108,75,37,12,12,12,12,12,12,12
7,73,25,25,12,12,12,12,12,12,12
8,73,25,25,12,3,3,3,3,3,3
9,73,37,25,12,12,12,12,12,12,12
10,73,25,25,6,12,12,12,12,12,12
11,73,25,25,12,12,12,12,12,12,12
12,36,7,13,12,12,12,12,12,12,12
13,73,25,25,6,12,12,12,12,12,12
14,72,25,25,3,12,12,12,12,12,12
15,37,13,13,12,12,12,12,12,12,12
16,19,7,7,6,12,12,12,12,12,12
17,73,25,25,12,2,2,2,2,2,2
18,37,13,13,12,12,12,12,12,12,12
19,73,25,25,12,12,12,12,12,12,12
20,73,25,25,6,12,12,12,12,12,12
21,73,25,25,12,12,12,12,12,12,12
22,56,26,13,12,12,12,12,12,12,12
23,38,7,25,12,12,12,12,12,12,12
24,73,25,25,12,12,12,12,12,12,12
25,73,25,25,12,12,12,12,12,12,12
26,74,13,25,6,24,24,24,24,24,24
27,73,25,25,6,12,12,12,12,12,12
28,144,74,25,12,12,12,12,12,12,12
29,73,25,13,24,12,12,12,12,12,12
30,73,25,13,24,12,12,12,12,12,12
31,37,13,25,12,12,12,12,12,12,12
32,37,13,49,2,12,12,12,12,12,12
33,73,25,49,12,12,12,12,12,12,12
34,145,49,25,12,12,12,12,12,12,12
35,224,49,5,12,12,12,12,12,12,12
36,145,37,25,12,12,12,12,12,12,12
37,73,5,25,12,12,12,12,12,12,12
38,13,37,25,24,24,24,24,24,24,24
39,73,25,25,12,12,12,12,12,12,12
40,73,25,25,12,12,12,12,12,12,12
41,73,25,25,12,12,12,12,12,12,12
42,73,25,51,24,12,12,12,12,12,12
43,73,25,25,22,12,12,12,12,12,12
44,192,98,25,12,24,24,24,24,24,24
45,73,37,25,12,24,24,24,24,24,24
46,73,25,62,12,12,12,12,12,12,12
47,73,25,45,6,12,12,12,12,12,12
48,192,23,25,12,12,12,12,12,12,12
49,88,25,25,12,12,12,12,12,12,12
50,73,74,25,12,12,12,12,12,12,12
51,168,25,13,24,12,12,12,12,12,12
52,72,13,25,6,12,12,12,12,12,12
53,72,37,25,12,12,12,12,12,12,12
54,37,25,25,12,12,12,12,12,12,12
55,73,25,49,12,12,12,12,12,12,12
56,73,49,13,12,4,4,4,4,4,4
57,73,7,61,12,12,12,12,12,12,12
58,145,38,25,12,24,24,24,24,24,24
59,36,123,25,6,12,12,12,12,12,12
60,72,51,25,12,12,12,12,12,12,12
61,180,25,25,12,12,12,12,12,12,12
62,72,25,37,12,12,12,12,12,12,12
63,73,25,25,12,12,12,12,12,12,12
64,73,75,25,24,12,12,12,12,12,12
65,73,25,25,12,24,24,24,24,24,24
66,108,38,49,12,4,4,4,4,4,4
67,73,25,13,6,6,6,6,6,6,6
68,72,25,25,12,3,3,3,3,3,3
69,73,49,25,12,12,12,12,12,12,12
70,73,13,25,12,6,6,6,6,6,6
71,37,74,25,6,12,12,12,12,12,12
72,144,25,49,12,12,12,12,12,12,12
73,72,25,25,12,12,12,12,12,12,12
74,73,37,25,12,12,12,12,12,12,12
75,73,49,13,12,12,12,12,12,12,12
76,73,25,25,12,12,12,12,12,12,12
77,145,13,25,6,12,12,12,12,12,12
78,73,25,25,12,12,12,12,12,12,12
79,72,25,13,24,12,12,12,12,12,12
80,37,25,25,12,12,12,12,12,12,12
81,73,13,25,12,12,12,12,12,12,12
82,72,37,25,6,12,12,12,12,12,12
83,73,25,50,24,6,6,6,6,6,6
84,37,25,25,12,12,12,12,12,12,12
85,73,24,25,12,12,12,12,12,12,12
86,73,25,25,12,12,12,12,12,12,12
87,73,38,13,6,12,12,12,12,12,12
88,96,25,25,12,12,12,12,12,12,12
89,73,37,49,12,2,2,2,2,2,2
90,72,7,25,12,0,0,0,0,0,0
91,73,25,25,12,0,0,0,0,0,0
92,36,49,13,12,0,0,0,0,0,0
93,73,25,49,24,0,0,0,0,0,0
94,145,25,25,6,0,0,0,0,0,0
95,73,7,25,12,0,0,0,0,0,0
96,73,49,25,24,0,0,0,0,0,0
97,36,25,13,12,0,0,0,0,0,0
98,145,25,25,16,0,0,0,0,0,0
99,73,25,25,12,0,0,0,0,0,0
100,73,13,25,12,0,0,0,0,0,0
101,73,25,25,12,0,0,0,0,0,0
102,37,25,25,12,0,0,0,0,0,0
103,73,25,49,12,0,0,0,0,0,0
104,73,37,13,12,0,0,0,0,0,0
105,73,25,25,12,0,0,0,0,0,0
106,72,49,49,6,0,0,0,0,0,0
107,73,7,25,12,0,0,0,0,0,0
108,145,37,31,12,0,0,0,0,0,0
109,36,49,32,12,0,0,0,0,0,0
110,73,25,25,12,0,0,0,0,0,0
111,145,45,32,12,0,0,0,0,0,0
112,73,38,33,12,0,0,0,0,0,0
113,88,25,25,12,0,0,0,0,0,0
114,96,25,25,12,0,0,0,0,0,0
115,84,25,25,12,0,0,0,0,0,0
116,73,25,25,12,0,0,0,0,0,0
117,96,25,25,12,0,0,0,0,0,0
118,96,37,13,12,0,0,0,0,0,0
119,73,7,25,4,0,0,0,0,0,0
120,73,25,41,12,0,0,0,0,0,0
121,73,85,25,24,0,0,0,0,0,0
122,72,25,25,12,0,0,0,0,0,0
123,72,25,25,12,0,0,0,0,0,0
124,36,25,25,6,0,0,0,0,0,0
125,72,25,25,6,0,0,0,0,0,0
126,120,25,25,12,0,0,0,0,0,0
127,73,25,25,12,0,0,0,0,0,0
128,73,25,25,12,0,0,0,0,0,0
129,73,25,25,12,0,0,0,0,0,0
130,72,25,25,12,0,0,0,0,0,0
131,73,25,25,12,0,0,0,0,0,0
132,73,25,9,6,0,0,0,0,0,0
133,73,9,25,12,0,0,0,0,0,0
134,73,25,49,12,0,0,0,0,0,0
135,73,49,49,12,0,0,0,0,0,0
136,73,99,25,24,0,0,0,0,0,0
137,73,25,25,4,0,0,0,0,0,0
138,25,37,13,12,0,0,0,0,0,0
139,73,20,13,6,0,0,0,0,0,0
140,145,74,25,12,0,0,0,0,0,0
141,144,7,25,3,0,0,0,0,0,0
142,73,7,25,6,0,0,0,0,0,0
143,73,25,25,12,0,0,0,0,0,0
144,36,13,25,6,0,0,0,0,0,0
145,144,25,25,12,0,0,0,0,0,0
146,36,25,13,12,0,0,0,0,0,0
147,36,37,25,12,0,0,0,0,0,0
148,73,25,25,12,0,0,0,0,0,0
149,74,7,25,12,0,0,0,0,0,0
150,73,25,49,12,0,0,0,0,0,0
151,73,25,9,12,0,0,0,0,0,0
152,97,25,25,6,0,0,0,0,0,0
153,73,49,13,12,0,0,0,0,0,0
154,36,9,25,12,0,0,0,0,0,0
155,73,25,7,12,0,0,0,0,0,0
156,73,13,13,12,0,0,0,0,0,0
157,73,25,25,12,0,0,0,0,0,0
158,145,7,13,12,0,0,0,0,0,0
159,25,7,25,24,0,0,0,0,0,0
160,73,25,25,12,0,0,0,0,0,0
161,37,13,25,12,0,0,0,0,0,0
162,73,25,25,6,0,0,0,0,0,0
163,19,25,25,12,0,0,0,0,0,0
164,36,25,1,12,0,0,0,0,0,0
165,73,25,25,12,0,0,0,0,0,0
166,37,25,25,24,0,0,0,0,0,0
167,72,1,13,12,0,0,0,0,0,0
168,73,25,25,12,0,0,0,0,0,0
169,73,25,25,12,0,0,0,0,0,0
170,73,7,25,6,0,0,0,0,0,0
171,73,37,25,12,0,0,0,0,0,0
172,1,25,25,2,0,0,0,0,0,0
173,73,25,25,12,0,0,0,0,0,0
174,73,25,49,12,0,0,0,0,0,0
175,36,25,25,12,0,0,0,0,0,0
176,96,25,25,12,0,0,0,0,0,0
177,73,49,13,0,0,0,0,0,0,0
178,73,25,25,0,0,0,0,0,0,0
179,73,25,25,0,0,0,0,0,0,0
180,73,13,25,0,0,0,0,0,0,0
181,73,25,49,0,0,0,0,0,0,0
182,145,25,25,0,0,0,0,0,0,0
183,73,25,25,0,0,0,0,0,0,0
184,73,49,25,0,0,0,0,0,0,0
185,37,25,13,0,0,0,0,0,0,0
186,73,25,25,0,0,0,0,0,0,0
187,73,25,5,0,0,0,0,0,0,0
188,73,13,25,0,0,0,0,0,0,0
189,145,25,25,0,0,0,0,0,0,0
190,73,5,25,0,0,0,0,0,0,0
191,73,37,25,0,0,0,0,0,0,0
192,73,25,0,0,0,0,0,0,0,0
193,37,37,0,0,0,0,0,0,0,0
194,73,25,0,0,0,0,0,0,0,0
195,13,0,0,0,0,0,0,0,0,0
196,72,0,0,0,0,0,0,0,0,0
197,73,0,0,0,0,0,0,0,0,0
198,73,0,0,0,0,0,0,0,0,0
199,73,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0
